,label,score
0,LABEL_2,0.6905789971351624
1,LABEL_3,0.5817559957504272
2,LABEL_2,0.7718105912208557
3,LABEL_2,0.7953259944915771
4,LABEL_4,0.9844136238098145
5,LABEL_4,0.9928165674209595
6,LABEL_4,0.5770493745803833
7,LABEL_4,0.5561310648918152
8,LABEL_3,0.493190199136734
9,LABEL_3,0.7096335291862488
10,LABEL_4,0.6318175196647644
11,LABEL_4,0.9569164514541626
12,LABEL_4,0.6157197952270508
13,LABEL_4,0.9185917377471924
14,LABEL_2,0.4971346855163574
15,LABEL_4,0.518134355545044
16,LABEL_3,0.6052529215812683
17,LABEL_3,0.726869523525238
18,LABEL_4,0.8209605813026428
19,LABEL_4,0.9876950979232788
20,LABEL_4,0.9142005443572998
21,LABEL_4,0.9186286330223083
22,LABEL_4,0.8849678039550781
23,LABEL_4,0.8933171629905701
24,LABEL_4,0.9694045186042786
25,LABEL_4,0.9324201941490173
26,LABEL_4,0.8724347949028015
27,LABEL_4,0.8535988926887512
28,LABEL_4,0.9661380052566528
29,LABEL_4,0.4990946352481842
30,LABEL_4,0.9903659820556641
31,LABEL_4,0.8458805084228516
32,LABEL_4,0.7718918919563293
33,LABEL_3,0.49374762177467346
34,LABEL_4,0.9125258922576904
35,LABEL_4,0.5698342323303223
36,LABEL_4,0.948028028011322
37,LABEL_3,0.6731547117233276
38,LABEL_3,0.6342778205871582
39,LABEL_4,0.7811821103096008
40,LABEL_4,0.8523609042167664
41,LABEL_4,0.8432649374008179
42,LABEL_3,0.7180895805358887
43,LABEL_3,0.48756134510040283
44,LABEL_4,0.9791306853294373
45,LABEL_4,0.7875670790672302
46,LABEL_3,0.6849948763847351
47,LABEL_4,0.4967326819896698
48,LABEL_4,0.5626201033592224
49,LABEL_4,0.9048770070075989
50,LABEL_4,0.9891027212142944
51,LABEL_4,0.9354392886161804
52,LABEL_4,0.7543257474899292
53,LABEL_4,0.7897945642471313
54,LABEL_3,0.7206195592880249
55,LABEL_4,0.9354888200759888
56,LABEL_4,0.9855852723121643
57,LABEL_4,0.8377959728240967
58,LABEL_4,0.956533670425415
59,LABEL_4,0.9792442917823792
60,LABEL_4,0.9070175290107727
61,LABEL_4,0.7794227004051208
62,LABEL_4,0.8467875719070435
63,LABEL_4,0.9887036681175232
64,LABEL_4,0.9824540019035339
65,LABEL_4,0.9320826530456543
66,LABEL_3,0.7109681367874146
67,LABEL_4,0.8717696070671082
68,LABEL_4,0.4007709324359894
69,LABEL_4,0.9501966834068298
70,LABEL_4,0.9576765894889832
71,LABEL_4,0.660182535648346
72,LABEL_3,0.5913256406784058
73,LABEL_4,0.979754626750946
74,LABEL_3,0.7288899421691895
75,LABEL_4,0.8889133930206299
76,LABEL_4,0.6918029189109802
77,LABEL_4,0.9689346551895142
78,LABEL_4,0.9094433188438416
79,LABEL_4,0.9788564443588257
80,LABEL_4,0.9275159239768982
81,LABEL_4,0.7330739498138428
82,LABEL_4,0.8385310769081116
